scientific_name,found
glaucidium gnoma gnoma,0
strix nebulosa nebulosa,0
strix varia,1
strix occidentalis lucida,0
bubo virginianus,1
psiloscops flammeolus,1
strix occidentalis caurina,0
phalaenoptilus nuttallii,1
aegolius acadicus,1
chordeiles minor,1
aegolius acadicus acadicus,0
megascops kennicottii suttoni,0
glaucidium gnoma,1
glaucidium gnoma pinicola,0
aegolius funereus richardsoni,0
aegolius funereus,1
megascops kennicottii,1
strix occidentalis occidentalis,0
strix nebulosa,1
strix occidentalis,1
